Order,Season,Episode,Character Killed,Killer,Method,Method Category,Reason,Location,Importance,Allegiance death,Allegiance killer
1222,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Unknown,
1223,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Unknown,
1224,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Unknown,
1225,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Unknown,
1226,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Unknown,
1227,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Unknown,
1228,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Unknown,
1229,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Unknown,
1230,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Unknown,
1231,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Unknown,
1232,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Unknown,
1233,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Unknown,
1234,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Unknown,
1235,6,10,Peasant,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Smallfolk,
1236,6,10,Peasant,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Smallfolk,
1237,6,10,Peasant,Cersei Lannister,Bell,Crushing,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Smallfolk,
1238,6,10,Peasant,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Smallfolk,
1239,6,10,Peasant,Cersei Lannister,Wildfire,Fire/Burning,Killed in a coup by Cersei to remove all of her enemies,King’s Landing,1.0,Smallfolk,
1240,6,10,Tommen Baratheon,Tommen Baratheon,Falling,Falling,Committed suicide after seeing the Sept of Baelor blown up by wildfire,King’s Landing,4.0,House Baratheon of King’s Landing,House Lannister
1241,6,10,Black Walder Rivers,Arya Stark,Unknown,Unknown,"Killed and baked into a pie, which was served to Walder Frey, as revenge for the Red Wedding",The Twins,2.0,House Frey,
1242,6,10,Lothar Frey,Arya Stark,Unknown,Unknown,"Killed and baked into a pie, which was served to Walder Frey, as revenge for the Red Wedding",The Twins,2.0,House Frey,
1243,6,10,Walder Frey,Arya Stark,Knife,Blade,Revenge for the Red Wedding,The Twins,4.0,House Frey,
1244,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1245,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1246,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1247,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1248,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1249,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1250,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1251,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1252,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1253,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1254,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1255,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1256,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1257,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1258,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1259,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1260,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1261,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1262,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1263,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1264,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1265,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1266,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1267,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1268,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1269,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1270,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1271,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1272,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1273,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1274,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1275,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1276,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1277,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1278,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1279,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1280,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1281,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1282,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1283,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1284,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1285,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1286,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1287,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1288,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1289,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1290,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1291,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,1.0,House Frey,
1292,7,1,Harald Karstark,Unknown,Unknown,Unknown,"Killed during Battle of the Bastards, but confirmed in season 7.",Winterfell,2.0,House Karstark,House Bolton
1293,7,1,Sally,Sally's father,Knife,Blade,"Sally’s father killed her and then himself so they wouldn’t starve to death in the winter after being robbed by Sandor Clegane. Time of death unknown, but confirmed in season 7.",Riverlands,2.0,Smallfolk,
1294,7,1,Sally’s father,Himself,Knife,Blade,"Sally’s father killed her and then himself so they wouldn’t starve to death in the winter after being robbed by Sandor Clegane. Time of death unknown, but confirmed in season 7.",Riverlands,2.0,Smallfolk,
1295,7,2,Greyjoy (Yara-aligned) soldier,Euron Greyjoy,Gangplank,Crushing,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1296,7,2,Greyjoy (Yara-aligned) soldier,Euron Greyjoy,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1297,7,2,Greyjoy (Yara-aligned) soldier,Greyjoy (Euron-aligned) soldier,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1298,7,2,Greyjoy (Yara-aligned) soldier,Greyjoy (Euron-aligned) soldier,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1299,7,2,Greyjoy (Yara-aligned) soldier,Greyjoy (Euron-aligned) soldier,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1300,7,2,Greyjoy (Euron-aligned) soldier,Theon Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1301,7,2,Greyjoy (Euron-aligned) soldier,Theon Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1302,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1303,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1304,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1305,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1306,7,2,Greyjoy (Yara-aligned) soldier,Greyjoy (Euron-aligned) soldier,Spiked knuckles,Bludgeon,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1307,7,2,Greyjoy (Yara-aligned) soldier,Euron Greyjoy,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1308,7,2,Greyjoy (Yara-aligned) soldier,Euron Greyjoy,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1309,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1310,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1311,7,2,Greyjoy (Euron-aligned) soldier,Tyene Sand,Knife,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1312,7,2,Greyjoy (Euron-aligned) soldier,Theon Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1313,7,2,Greyjoy (Euron-aligned) soldier,Theon Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1314,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1315,7,2,Greyjoy (Yara-aligned) soldier,Greyjoy (Euron-aligned) soldier,Flaming missile,Fire/Burning,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1316,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1317,7,2,Greyjoy (Yara-aligned) soldier,Euron Greyjoy,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1318,7,2,Greyjoy (Yara-aligned) soldier,Euron Greyjoy,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1319,7,2,Greyjoy (Euron-aligned) soldier,Tyene Sand,Knife,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1320,7,2,Greyjoy (Euron-aligned) soldier,Tyene Sand,Knife,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1321,7,2,Obara Sand,Euron Greyjoy,Spear,Polearm,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,3.0,House Martell,House Targaryen
1322,7,2,Greyjoy (Euron-aligned) soldier,Nymeria Sand,Knife,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1323,7,2,Nymeria Sand,Euron Greyjoy,Hands/Whip,Hands,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,3.0,House Martell,House Targaryen
1324,7,2,Greyjoy (Euron-aligned) soldier,Yara Greyjoy,Falling,Falling,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1325,7,2,Greyjoy (Yara-aligned) soldier,Euron Greyjoy,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1326,7,2,Greyjoy (Euron-aligned) soldier,Euron Greyjoy,Axe,Axe,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1327,7,2,Greyjoy (Euron-aligned) soldier,Theon Greyjoy,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Euron-aligned),
1328,7,2,Greyjoy (Yara-aligned) soldier,Greyjoy (Euron-aligned) soldier,Sword,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1329,7,2,Greyjoy (Yara-aligned) soldier,Greyjoy (Euron-aligned) soldier,Knife,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1330,7,2,Greyjoy (Yara-aligned) soldier,Greyjoy (Euron-aligned) soldier,Knife,Blade,"Killed during Euron’s attack on Yara’s fleet, which was partially Euron’s attempt to bring a gift back to Cersei and win her heart.  ",Narrow Sea,1.0,House Greyjoy (Yara-aligned),
1331,7,3,Tyene Sand,Cersei Lannister,Poison,Poison,"Revenge on Ellaria for killing Myrcella, Cersei’s daughter.",King’s Landing,3.0,House Martell,House Targaryen
1332,7,3,Unsullied,Lannister soldier,Arrow,Arrow,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Targaryen,
1333,7,3,Unsullied,Lannister soldier,Arrow,Arrow,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Targaryen,
1334,7,3,Unsullied,Lannister soldier,Arrow,Arrow,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Targaryen,
1335,7,3,Unsullied,Lannister soldier,Rock,Bludgeon,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Targaryen,
1336,7,3,Unsullied,Lannister soldier,Rock,Bludgeon,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Targaryen,
1337,7,3,Unsullied,Lannister soldier,Rock,Bludgeon,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Targaryen,
1338,7,3,Unsullied,Lannister soldier,Rock,Bludgeon,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Targaryen,
1339,7,3,Unsullied,Lannister soldier,Arrow,Arrow,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Targaryen,
1340,7,3,Unsullied,Lannister soldier,Arrow,Arrow,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Targaryen,
1341,7,3,Lannister soldier,Unsullied,Knife,Blade,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1342,7,3,Lannister soldier,Unsullied,Falling,Falling,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1343,7,3,Lannister soldier,Unsullied,Spear,Polearm,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1344,7,3,Lannister soldier,Unsullied,Spear,Polearm,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1345,7,3,Lannister soldier,Unsullied,Spear,Polearm,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1346,7,3,Unsullied,Lannister soldier,Sword,Blade,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Targaryen,
1347,7,3,Lannister soldier,Unsullied,Spear,Polearm,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1348,7,3,Unsullied,Lannister soldier,Sword,Blade,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Targaryen,
1349,7,3,Lannister soldier,Unsullied,Knife,Blade,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1350,7,3,Unsullied,Lannister soldier,Sword,Blade,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Targaryen,
1351,7,3,Lannister soldier,Grey Worm,Spear,Polearm,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1352,7,3,Lannister soldier,Grey Worm,Spear,Polearm,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1353,7,3,Lannister soldier,Grey Worm,Spear,Polearm,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1354,7,3,Lannister soldier,Grey Worm,Spear,Polearm,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1355,7,3,Lannister soldier,Grey Worm,Spear,Polearm,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1356,7,3,Lannister soldier,Grey Worm,Spear,Polearm,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1357,7,3,Lannister soldier,Grey Worm,Spear,Polearm,Killed during Daenerys Targaryen’s takeover of Casterly Rock.,Casterly Rock,1.0,House Lannister,
1358,7,3,Olenna Tyrell,Jaime Lannister,Poison,Poison,Willingly drank the poison given to her by Jaime Lannister after Highgarden is sacked.,Highgarden,4.0,House Tyrell,House Targaryen
1359,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,1.0,House Lannister,
1360,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,1.0,House Lannister,
1361,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,1.0,House Lannister,
1362,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,1.0,House Lannister,
1363,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,1.0,House Lannister,
1364,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,1.0,House Lannister,
1365,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,1.0,House Lannister,
1366,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,1.0,House Lannister,
1367,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,1.0,House Lannister,
