order,Season,Episode,character_killed,killer,method,method_cat,reason,location,allegiance,importance,No. overall,Title,Directed by,Written by,Novel(s) adapted,Original air date,U.S. viewers(millions),Imdb rating
1405,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1406,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1407,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1408,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1409,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1410,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1411,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1412,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1413,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1414,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1415,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1416,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1417,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1418,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1419,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1420,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1421,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1422,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1423,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1424,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1425,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1426,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1427,7,4,Dothraki rider,Jaime Lannister,Sword (Widow’s Wail),Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Targaryen,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1428,7,4,Dothraki rider,Jaime Lannister,Sword (Widow’s Wail),Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Targaryen,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1429,7,4,Lannister soldier,Dothraki rider,Arakh,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1430,7,4,Lannister soldier,Dothraki rider,Arakh,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1431,7,4,Dothraki rider,Jaime Lannister,Sword (Widow’s Wail),Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Targaryen,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1432,7,4,Dothraki rider,Jaime Lannister,Sword (Widow’s Wail),Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Targaryen,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1433,7,4,Lannister soldier,Dothraki rider,Arakh,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1434,7,4,Dothraki rider,Dickon Tarly,Sword,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Targaryen,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1435,7,4,Horse,Dothraki rider,Arakh,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1436,7,4,Lannister soldier,Dothraki rider,Arakh,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1437,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1438,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1439,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1440,7,4,Lannister soldier,Dothraki rider,Arakh,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1441,7,4,Dothraki rider,Bronn,Sword,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Targaryen,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1442,7,4,Lannister soldier,Dothraki rider,Horse’s hooves,Crushing,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1443,7,4,Dothraki rider,Bronn,Sword,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Targaryen,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1444,7,4,Dothraki rider,Bronn,Scorpion bolt,Arrow,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Targaryen,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1445,7,4,Lannister soldier,Dothraki rider,Arakh,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1446,7,4,Lannister soldier,Dothraki rider,Arakh,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1447,7,4,Lannister soldier,Dothraki rider,Arakh,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1448,7,4,Lannister soldier,Dothraki rider,Glaive,Polearm,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1449,7,4,Lannister soldier,Dothraki rider,Sword,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1450,7,4,Lannister soldier,Dothraki rider,Arakh,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1451,7,4,Lannister soldier,Dothraki rider,Sword,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1452,7,4,Lannister soldier,Dothraki rider,Sword,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1453,7,4,Lannister soldier,Dothraki rider,Arakh,Blade,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1454,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1455,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1456,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1457,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1458,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1459,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1460,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1461,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1462,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1463,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1464,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1465,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1466,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1467,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1468,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1469,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1470,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1471,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1472,7,4,Lannister soldier,Drogon,Dragonfire,Animal,Killed when Daenerys Targaryen and her Dothraki army ambushed the Lannister forces at the Battle of the Goldroad,Goldroad,House Lannister,1.0,64,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,6-Aug-17,10.17,9.8
1473,7,5,Randyll Tarly,Drogon,Dragonfire,Animal,Executed when he refused to bend the knee to Daenerys Targaryen after the Battle of the Goldroad.,Goldroad,"House Tarly, House Lannister",3.0,65,"""Eastwatch""",Matt Shakman,Dave Hill,Outline from A Dream of Spring and original content ,13-Aug-17,10.72,8.8
1474,7,5,Dickon Tarly,Drogon,Dragonfire,Animal,Executed when he refused to bend the knee to Daenerys Targaryen after the Battle of the Goldroad.,Goldroad,"House Tarly, House Lannister",3.0,65,"""Eastwatch""",Matt Shakman,Dave Hill,Outline from A Dream of Spring and original content ,13-Aug-17,10.72,8.8
1475,7,5,City watch guard,Gendry,Warhammer,Bludgeon,Tried to capture Tyrion Lannister after he snuck into King’s Landing to parley with Jaime.,King’s Landing,House Lannister,1.0,65,"""Eastwatch""",Matt Shakman,Dave Hill,Outline from A Dream of Spring and original content ,13-Aug-17,10.72,8.8
1476,7,5,City watch guard,Gendry,Warhammer,Bludgeon,Tried to capture Tyrion Lannister after he snuck into King’s Landing to parley with Jaime.,King’s Landing,House Lannister,1.0,65,"""Eastwatch""",Matt Shakman,Dave Hill,Outline from A Dream of Spring and original content ,13-Aug-17,10.72,8.8
1477,7,6,Wight hunt party member,Wight snow bear,Bear teeth,Animal,"Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.",Beyond the Wall,"Free Folk, Night’s Watch",1.0,66,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,20-Aug-17,10.24,9.0
1478,7,6,Wight hunt party member,Wight snow bear,Bear teeth,Animal,"Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.",Beyond the Wall,"Free Folk, Night’s Watch",1.0,66,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,20-Aug-17,10.24,9.0
1479,7,6,Wight hunt party member,Wight snow bear,Bear teeth,Animal,"Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.",Beyond the Wall,"Free Folk, Night’s Watch",1.0,66,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,20-Aug-17,10.24,9.0
1480,7,6,Wight snow bear,Jorah Mormont,Dragonglass knife,Blade,"Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.",Beyond the Wall,,1.0,66,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,20-Aug-17,10.24,9.0
1481,7,6,White Walker,Jon Snow,Sword (Longclaw),Blade,"Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.",Beyond the Wall,,1.0,66,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,20-Aug-17,10.24,9.0
1482,7,6,Wight,Jon Snow,Sword (Longclaw),Blade,"Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.",Beyond the Wall,,1.0,66,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,20-Aug-17,10.24,9.0
1483,7,6,Wight,Jon Snow,Sword (Longclaw),Blade,"Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.",Beyond the Wall,,1.0,66,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,20-Aug-17,10.24,9.0
1484,7,6,Wight,Jon Snow,Sword (Longclaw),Blade,"Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.",Beyond the Wall,,1.0,66,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,20-Aug-17,10.24,9.0
1485,7,6,Wight,Jon Snow,Sword (Longclaw),Blade,"Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.",Beyond the Wall,,1.0,66,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,20-Aug-17,10.24,9.0
1486,7,6,Wight,Jon Snow,Sword (Longclaw),Blade,"Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.",Beyond the Wall,,1.0,66,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,20-Aug-17,10.24,9.0
1487,7,6,Wight,Jon Snow,Sword (Longclaw),Blade,"Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.",Beyond the Wall,,1.0,66,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,20-Aug-17,10.24,9.0
1488,7,6,Wight,Jon Snow,Sword (Longclaw),Blade,"Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.",Beyond the Wall,,1.0,66,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,20-Aug-17,10.24,9.0
1489,7,6,Wight,Jon Snow,Sword (Longclaw),Blade,"Killed during a wight hunt led by Jon Snow, who wanted to capture a wight to prove the existence of White Walkers.",Beyond the Wall,,1.0,66,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,20-Aug-17,10.24,9.0
